Eta Anni,M,F
0,193,236
1,215,181
2,264,240
3,239,205
4,231,257
5,261,228
6,289,254
7,242,278
8,285,284
9,273,296
10,316,288
11,282,275
12,334,293
13,282,273
14,304,343
15,316,286
16,284,318
17,325,287
18,356,296
19,351,301
20,344,285
21,339,297
22,326,319
23,311,287
24,340,325
25,310,312
26,371,309
27,353,327
28,369,386
29,380,313
30,372,349
31,355,308
32,328,333
33,338,341
34,364,345
35,353,401
36,370,380
37,390,383
38,375,368
39,436,377
40,469,442
41,428,495
42,473,471
43,479,483
44,529,493
45,498,464
46,460,468
47,424,481
48,503,508
49,441,454
50,461,471
51,473,493
52,464,525
53,456,464
54,437,476
55,420,479
56,429,458
57,374,460
58,396,431
59,390,430
60,395,435
61,341,454
62,408,381
63,327,371
64,381,417
65,337,348
66,354,371
67,302,375
68,369,398
69,385,397
70,370,400
71,336,321
72,284,343
73,238,288
74,241,243
75,228,282
76,205,282
77,190,255
78,243,277
79,221,268
80,183,290
81,191,245
82,169,250
83,144,217
84,145,203
85,127,188
86,136,169
87,107,142
88,84,165
89,71,109
90,64,100
91,59,84
92,28,70
93,33,44
94,26,36
95,20,34
96,11,27
97,10,19
98,2,8
99,1,8
100,1,3
101,0,2
102,1,3
103,0,1
104,0,1
106,0,1